run_id,profile,family,fold,subset_seed,budget,map_seed,sampling_seed,launched_shots,macro_f1,balanced_accuracy,accuracy,acceptance,failures,test_inference_seconds
shots_q202_n2000_s1001,shots,Q1-sampled,0,11,24,202.0,1001.0,2000.0,0.8047762559522589,0.8083333333333335,0.8083333333333333,0.7488,0,
shots_q202_n2000_s1002,shots,Q1-sampled,0,11,24,202.0,1002.0,2000.0,0.7844525707721642,0.7888888888888889,0.7888888888888889,0.7489763888888888,0,
shots_q202_n2000_s1003,shots,Q1-sampled,0,11,24,202.0,1003.0,2000.0,0.803584144918495,0.8083333333333335,0.8083333333333333,0.7484236111111111,0,
shots_q202_n2000_s1004,shots,Q1-sampled,0,11,24,202.0,1004.0,2000.0,0.7944374560908437,0.7999999999999999,0.8,0.7477180555555556,0,
shots_q202_n2000_s1005,shots,Q1-sampled,0,11,24,202.0,1005.0,2000.0,0.7853076085365606,0.7916666666666666,0.7916666666666666,0.7478138888888889,0,
shots_q202_n500_s1001,shots,Q1-sampled,0,11,24,202.0,1001.0,500.0,0.7969207277452891,0.8027777777777777,0.8027777777777778,0.7469777777777777,0,
shots_q202_n500_s1002,shots,Q1-sampled,0,11,24,202.0,1002.0,500.0,0.7761936684712173,0.7833333333333333,0.7833333333333333,0.7472944444444445,0,
shots_q202_n500_s1003,shots,Q1-sampled,0,11,24,202.0,1003.0,500.0,0.7887627095567585,0.7944444444444446,0.7944444444444444,0.7486611111111111,0,
shots_q202_n500_s1004,shots,Q1-sampled,0,11,24,202.0,1004.0,500.0,0.7709433686177872,0.7777777777777777,0.7777777777777778,0.7494833333333333,0,
shots_q202_n500_s1005,shots,Q1-sampled,0,11,24,202.0,1005.0,500.0,0.764567655575096,0.7722222222222221,0.7722222222222223,0.7494611111111111,0,
shots_q202_n8000_s1001,shots,Q1-sampled,0,11,24,202.0,1001.0,8000.0,0.8008378501268227,0.8055555555555557,0.8055555555555556,0.7479690972222223,0,
shots_q202_n8000_s1002,shots,Q1-sampled,0,11,24,202.0,1002.0,8000.0,0.7952280945379006,0.8000000000000002,0.8,0.7482486111111111,0,
shots_q202_n8000_s1003,shots,Q1-sampled,0,11,24,202.0,1003.0,8000.0,0.7952280945379006,0.8000000000000002,0.8,0.7475447916666667,0,
shots_q202_n8000_s1004,shots,Q1-sampled,0,11,24,202.0,1004.0,8000.0,0.8039461424117041,0.8083333333333335,0.8083333333333333,0.747990625,0,
shots_q202_n8000_s1005,shots,Q1-sampled,0,11,24,202.0,1005.0,8000.0,0.7980244387656094,0.8027777777777779,0.8027777777777778,0.7481111111111111,0,
shots_q303_n2000_s1001,shots,Q1-sampled,0,11,24,303.0,1001.0,2000.0,0.7359323658048175,0.7388888888888888,0.7388888888888889,0.7597625,0,
shots_q303_n2000_s1002,shots,Q1-sampled,0,11,24,303.0,1002.0,2000.0,0.7327011028659158,0.736111111111111,0.7361111111111112,0.7590777777777777,0,
shots_q303_n2000_s1003,shots,Q1-sampled,0,11,24,303.0,1003.0,2000.0,0.7407162548173941,0.7472222222222222,0.7472222222222222,0.7593166666666666,0,
shots_q303_n2000_s1004,shots,Q1-sampled,0,11,24,303.0,1004.0,2000.0,0.727279851604664,0.7305555555555555,0.7305555555555555,0.7602027777777778,0,
shots_q303_n2000_s1005,shots,Q1-sampled,0,11,24,303.0,1005.0,2000.0,0.7268520716510082,0.7333333333333334,0.7333333333333333,0.7588305555555556,0,
shots_q303_n500_s1001,shots,Q1-sampled,0,11,24,303.0,1001.0,500.0,0.7186869499870704,0.7222222222222222,0.7222222222222222,0.7592,0,
shots_q303_n500_s1002,shots,Q1-sampled,0,11,24,303.0,1002.0,500.0,0.7331988282367528,0.736111111111111,0.7361111111111112,0.7598722222222222,0,
shots_q303_n500_s1003,shots,Q1-sampled,0,11,24,303.0,1003.0,500.0,0.7216148803360101,0.725,0.725,0.7579555555555556,0,
shots_q303_n500_s1004,shots,Q1-sampled,0,11,24,303.0,1004.0,500.0,0.7385291623368091,0.7416666666666666,0.7416666666666667,0.7589222222222223,0,
shots_q303_n500_s1005,shots,Q1-sampled,0,11,24,303.0,1005.0,500.0,0.7140413770547185,0.7194444444444444,0.7194444444444444,0.7593777777777778,0,
shots_q303_n8000_s1001,shots,Q1-sampled,0,11,24,303.0,1001.0,8000.0,0.7283718396919493,0.7333333333333333,0.7333333333333333,0.7595548611111111,0,
shots_q303_n8000_s1002,shots,Q1-sampled,0,11,24,303.0,1002.0,8000.0,0.7254681386603113,0.7305555555555556,0.7305555555555555,0.7588944444444444,0,
shots_q303_n8000_s1003,shots,Q1-sampled,0,11,24,303.0,1003.0,8000.0,0.7165109527657543,0.7222222222222222,0.7222222222222222,0.7595923611111111,0,
shots_q303_n8000_s1004,shots,Q1-sampled,0,11,24,303.0,1004.0,8000.0,0.7244209308001749,0.7305555555555555,0.7305555555555555,0.7597076388888889,0,
shots_q303_n8000_s1005,shots,Q1-sampled,0,11,24,303.0,1005.0,8000.0,0.7214208270549731,0.7277777777777777,0.7277777777777777,0.7593892361111111,0,
